Año;Mes;Producto;Datos;Total
;;;Suma de ValorFOB;208140
;;GAS OIL;Suma de M3;43769
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;6375836
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;6285
;;;Suma de ValorFOB;1292086
;;NAFTA VIRGEN;Suma de M3;6000
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;730331
;;PETROLEO;Suma de M3;107783
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;11024212
;12;ADITIVOS LUBRICANTES;Suma de M3;69
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;221263
;;ADITIVOS PARA COMBUSTIBLES;Suma de M3;70
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;403933
;;AGUARRAS;Suma de M3;72
;;;Suma de Toneladas;54
;;;Suma de ValorFOB;66733
;;BASES LUBRICANTES;Suma de M3;0
;;;Suma de Toneladas;55
;;;Suma de ValorFOB;30191
;;FUEL OIL, AZUFRE <1%;Suma de M3;4779
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;465241
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;3994
;;;Suma de ValorFOB;1268159
;;PETROLEO;Suma de M3;52915
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;6425945
1996;1;ADITIVOS LUBRICANTES;Suma de M3;126
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;313516
;;ADITIVOS PARA COMBUSTIBLES;Suma de M3;57
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;169830
;;AERONAFTAS;Suma de M3;1593
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;414587
;;AGUARRAS;Suma de M3;27
;;;Suma de Toneladas;20
;;;Suma de ValorFOB;19346
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;4
;;;Suma de ValorFOB;1065
;;BASES LUBRICANTES;Suma de M3;4617
;;;Suma de Toneladas;3916
;;;Suma de ValorFOB;1747858
;;CARBON MINERAL;Suma de M3;0
;;;Suma de Toneladas;118461.3008
;;;Suma de ValorFOB;7826254.875
;;FUEL OIL, AZUFRE >1%;Suma de M3;0
;;;Suma de Toneladas;1958
;;;Suma de ValorFOB;190734
;;GAS NATURAL;Suma de M3;165419008
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;7223000
;;GAS OIL;Suma de M3;30125
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;4609987
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;2.720000029
;;;Suma de ValorFOB;12556.5
;;HULLA BITUMINOSA TERMICA;Suma de M3;0
;;;Suma de Toneladas;56965
;;;Suma de ValorFOB;2580623.25
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;18003
;;;Suma de ValorFOB;5965915
