refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
2023,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",39293406.36,60512900.0,60512900.0,H5,natural_gas_hs
2023,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",79086244.94,116901800.0,116901800.0,H5,natural_gas_hs
2023,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",121687251.04,120276600.0,120276600.0,H5,natural_gas_hs
2023,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",40848537.33,39983100.0,39983100.0,H5,natural_gas_hs
2023,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",1433720521.0,1455617300.0,1455617300.0,H5,natural_gas_hs
2024,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",675501161.77,1139647970.0,1139647970.0,H6,natural_gas_hs
2024,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",586038871.79,948069900.0,948069900.0,H6,natural_gas_hs
2024,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",27438247.96,40816800.0,40816800.0,H6,natural_gas_hs
2024,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",547243254.79,888833600.0,888833600.0,H6,natural_gas_hs
2024,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",25906.5,22100.0,22100.0,H6,natural_gas_hs
2024,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",38795617.0,59236300.0,59236300.0,H6,natural_gas_hs
2024,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",24662061.47,41274100.0,41274100.0,H6,natural_gas_hs
2024,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",57320082.09,93856170.0,93856170.0,H6,natural_gas_hs
2024,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",566054863.75,963678800.0,963678800.0,H6,natural_gas_hs
2025,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",608085377.81,970783000.0,970783000.0,H6,natural_gas_hs
