"anio","unidad","precio_externo_gas","us_wellhead_gas_price","us_import_gas_price","us_pipeline_import_price","us_lng_import_price","us_export_gas_price","us_export_gas_pipeline_price","us_export_lng_price","eia_henry_hub_spot","bp_lng_japan_cif","bp_lng_jkm","bp_gas_german_import_price","bp_gas_nbp","bp_gas_netherlands_ttf","bp_gas_henry_hub","bp_gas_canada","bp_oil_mix_mean_oecd","fmi_lng_asia","fmi_natural_gas_eu","fmi_henry_hub","precio_expo_bolivia_arg_ypfb","precio_expo_bolivia_bzl_ypfb","precio_impo_gas_arg_bolivia_comtrade","precio_expo_gas_bolivia_arg_comtrade","precio_expo_gas_comtrade","precio_expo_gas_regalias","precio_expo_gas_indec","precio_expo_gas_mecon","precio_impo_gas_bolivia_idee","precio_exportacion_gas_ar"
1997,"USD/MMBTU",0.677567043446453,2.2568093385214,2.11089494163424,2.09143968871595,2.66536964980545,2.93774319066148,2.42217898832685,3.72568093385214,2.48983935742972,3.90631461952026,NA,2.664762,1.95691760520589,NA,2.525,1.35833333333333,3.2948275862069,2.89319176841791,2.78469278795881,2.43006615067028,1.18677042801556,0,7.3424632771164,0.677567043446453,2.07826835661891,NA,NA,NA,NA,2.07826835661891
1998,"USD/MMBTU",0.55331891121562,1.90661478599222,1.91634241245136,1.89688715953307,2.55836575875486,2.38326848249027,2.07198443579767,2.8307392996109,2.08836653386454,3.04965363937138,NA,2.330556,1.86486239569496,NA,2.08416666666667,1.4225,2.15862068965517,2.11876773645495,2.34111172206216,2.06227782755628,0.963035019455253,0,1.26310536795429,0.55331891121562,1.6716848569601,NA,NA,NA,NA,1.6716848569601
1999,"USD/MMBTU",0.470940138897589,2.13035019455253,2.17898832684825,2.1692607003891,2.40272373540856,2.53891050583658,2.23735408560311,3.01556420233463,2.27412,3.13739079301075,NA,1.862812,1.57906760796813,NA,2.26583333333333,1.99583333333333,2.97586206896552,2.57136986109555,1.88430237682735,2.23336006205257,0.787937743190661,1.0408560311284,0.974712943873329,0.470940138897589,1.73845804590603,1.16209545365647,NA,NA,NA,1.16209545365647
2000,"USD/MMBTU",1.07735112337499,3.57976653696498,3.84241245136187,3.8715953307393,3.40466926070039,3.98832684824903,3.91050583657587,4.20233463035019,4.3114859437751,4.72325074958643,NA,2.91031,2.7108360015873,NA,4.22583333333333,3.7475,4.82758620689655,4.02726139800605,3.60175491982649,4.25482671349472,0,1.57587548638132,1.09326022997881,1.07735112337499,2.45963131875322,1.25203696929203,NA,NA,NA,1.25203696929203
2001,"USD/MMBTU",0.587254337778946,3.89105058365759,4.30933852140078,4.31906614785992,4.23151750972763,4.07587548638132,4.0272373540856,4.28015564202335,3.95912,4.63766219499586,NA,3.667058,3.17464486166666,NA,4.06833333333333,3.61166666666667,4.07758620689655,3.59196841977522,4.03903224970317,3.91049118704835,0,1.69260700389105,1.09010933878558,0.587254337778946,2.62610739053801,1.48076359562803,NA,1.4807778210985,NA,1.48076359562803
2002,"USD/MMBTU",0.513988201484974,2.86964980544747,3.06420233463035,3.04474708171206,3.31712062256809,3.31712062256809,3.2295719844358,3.96887159533074,3.3756,4.27340195926385,NA,3.212179,2.37260279015873,NA,3.33083333333333,2.57166666666667,4.17068965517241,3.40541428624771,2.78048446476159,3.31969539969955,0,1.50778210116732,0.888298650307164,0.513988201484974,2.5044759595835,1.30479088853396,5527.61864749431,1.30479847125327,NA,1.30479088853396
2003,"USD/MMBTU",0.528108820881283,4.74708171206226,5.02918287937743,5.0875486381323,4.65953307392996,5.38910505836576,5.50583657587549,4.34824902723735,5.47116,4.76917907361456,NA,4.063158,3.33147408379447,NA,5.625,4.82916666666667,4.89310344827586,3.83173215152534,3.63558192124498,5.43981242955615,0,1.96498054474708,0.600994187558286,0.528108820881283,3.07051802415388,1.39207231120329,1609.31036560564,1.39207757785108,NA,1.39207231120329
2004,"USD/MMBTU",0.966642296095728,5.31128404669261,5.65175097276264,5.6420233463035,5.66147859922179,5.92412451361868,6.01167315175097,4.82490272373541,5.89289156626506,5.18203318858561,NA,4.301853,4.45723570346457,NA,5.84916666666667,5.03166666666667,6.27241379310345,4.53179096187596,3.91575703765598,5.83575715858351,0,2.09143968871595,1.78783874638788,0.966642296095728,3.41535940950156,1.55212843901163,5.75508947265303,1.55211711736505,NA,1.55212843901163
2005,"USD/MMBTU",1.46026730409114,7.13035019455253,7.8988326848249,7.86964980544747,8.03501945525292,7.38326848249027,7.55836575875486,5.63229571984436,8.68589211618257,6.04770859181141,NA,5.830318,7.38307475,6.07439252812925,8.78583333333333,7.25,8.73620689655172,5.41006987229753,6.16822979433693,8.78570779884817,2.5875486381323,2.67509727626459,2.49808329550194,1.46026730409114,4.34184417337014,1.80499070801215,54.414238474962,1.79917408544267,NA,1.80499070801215
2006,"USD/MMBTU",2.40590503571002,6.215953307393,6.69260700389105,6.64396887159533,6.99416342412451,6.64396887159533,6.71206225680934,5.85603112840467,6.73124497991968,7.13830839019851,NA,7.874267,7.87210784761905,7.45754328899095,6.76416666666667,5.83333333333333,10.6551724137931,6.19218685822036,8.56408912696397,6.65776811747639,4.08560311284047,3.66731517509728,3.17083970920635,2.40590503571002,5.01921894660782,2.38809285538034,3.90893500263892,2.38811140598672,NA,2.38809285538034
2007,"USD/MMBTU",3.03078176809827,6.07976653696498,6.68287937743191,6.64396887159533,6.87743190661479,6.73151750972763,6.7704280155642,6.06031128404669,6.96718253968254,7.73011011166253,NA,7.994001,6.00638274088096,5.93393746324326,6.95,6.1675,11.9534482758621,6.47041535976999,8.49109232466414,6.89613013893646,5.47665369649805,4.15369649805447,1.94477263240605,3.03078176809827,7.56872587948836,4.4970592887649,5.56831255561567,4.49706154200223,NA,4.4970592887649
2008,"USD/MMBTU",8.99101516219082,7.75291828793774,8.46303501945525,8.33657587548638,9.7568093385214,8.34630350194553,8.3852140077821,7.48054474708171,8.86252964426878,12.5482546267576,NA,11.60052,10.7926546114239,10.6573740366225,8.84916666666666,7.99,16.7568965517241,8.91677471901719,13.6999355744888,8.7493500850667,9.05642023346303,6.66342412451362,1.93790924589934,8.99101516219082,13.6790458264193,12.9414766980518,12.971601632739,12.9414693875746,NA,12.9414766980518
