indice_tiempo,produccion_gas_natural,total,residencial,comercial,entes_oficiales,industria,centrales_electricas,sdb,gnc,metrogas,gas_natural_fenosa,distrib_gas_del_centro_ecogas,distrib_gas_cuyana_ecogas,litoral_gas,gasnea,redengas,gasnor,camuzzi_gas_pampeana,camuzzi_gas_del_sur
2005-10-01,4196.378999300001,2796.247,528.657,88.316,29.899,1089.346,751.665,36.236,272.128,661.14,323.049,158.195,174.18,287.392,14.252,5.015,299.979,550.531,322.514
2005-11-01,4116.0278161,2731.215,356.598,70.551,19.458,1059.096,937.342,25.69,262.48,673.324,324.054,154.941,168.093,276.966,12.636,4.238,289.55,512.88,314.533
2005-12-01,4134.317218600001,2638.974,288.982,69.185,15.11,1010.908,949.582,25.352,279.855,673.35,267.574,160.43,174.209,297.192,12.293,4.197,289.464,471.536,288.729
2006-01-01,4252.653309930002,2783.618,237.793,52.036,11.134,1082.031,1122.27,26.93,251.424,708.138,244.795,153.632,176.268,328.632,12.125,3.723,281.82,563.366,311.119
2006-02-01,3905.8880926220004,2664.907,215.15,47.764,12.553,1007.407,1120.641,29.496,231.896,710.837,227.952,143.926,171.305,285.84,11.915,3.787,264.835,528.743,315.767
2006-03-01,4301.328558899998,2916.735,324.255,69.065,18.745,1121.995,1085.482,32.051,265.142,758.834,282.524,161.437,172.124,323.133,14.18,4.574,275.825,547.871,376.233
2006-04-01,4188.6118108499995,2910.874,435.362,97.837,23.413,1067.723,995.899,36.077,254.563,767.409,297.655,146.814,175.128,333.885,13.826,4.571,248.176,556.438,366.972
2006-05-01,4440.408226900001,3270.838,937.938,121.831,41.404,1068.969,784.911,60.407,255.378,766.546,407.219,169.459,200.83,333.115,18.39,6.405,276.699,645.813,446.362
2006-06-01,4402.552487394,3301.585,1125.287,146.226,47.666,1010.527,652.728,72.805,246.346,700.09,435.45,176.387,207.052,320.738,18.887,7.384,315.112,624.409,496.076
2006-07-01,4526.547351730001,3351.48,1109.572,120.917,46.334,1032.19,712.479,69.125,260.863,723.681,414.942,181.445,213.416,319.891,18.383,6.829,326.063,635.955,510.875
2006-08-01,4549.934244620003,3443.327,1192.689,154.092,54.767,1017.702,683.286,76.108,264.683,715.595,445.389,204.432,211.096,331.217,21.681,8.077,333.937,635.674,536.229
2006-09-01,4361.732698103335,3143.688,785.044,95.885,52.074,1070.185,831.203,53.746,255.551,746.651,366.37,172.572,188.7,316.254,17.123,6.181,312.34,585.071,432.426
2006-10-01,4363.270568599001,3089.795,455.703,78.215,28.543,1159.943,1073.935,36.08,257.376,762.381,299.772,182.701,182.819,326.262,14.306,4.887,308.626,575.817,432.224
2006-11-01,4117.82259274,2941.309,335.891,67.55,18.841,1134.904,1104.418,29.148,250.557,769.553,273.685,185.521,170.993,321.451,13.407,4.655,293.873,549.262,358.909
2006-12-01,4205.6071091799995,2998.789,246.414,62.338,15.818,1127.169,1262.765,25.201,259.084,782.441,247.148,181.108,176.335,319.858,12.653,4.299,300.203,600.73,374.014
2007-01-01,4198.84450093,2882.546,220.808,55.027,10.975,1124.15,1198.571,29.325,243.69,779.335,232.364,172.034,173.87,265.805,12.757,3.887,308.786,598.776,334.932
2007-02-01,3715.244786459999,2777.489,216.964,56.789,10.206,1036.196,1205.832,30.436,221.066,739.802,218.357,161.769,170.488,260.649,12.608,3.912,295.345,549.607,364.952
2007-03-01,4251.8185621699995,3055.134,304.292,68.18,14.961,1195.144,1193.427,31.94,247.19,751.303,266.775,190.123,175.219,327.231,15.113,4.719,290.97,618.686,414.995
2007-04-01,4264.383035859999,3114.432,462.757,84.547,22.376,1167.771,1104.075,37.494,235.412,716.942,287.1,204.265,185.528,339.589,16.804,4.726,284.615,635.342,439.521
2007-05-01,4478.719664359999,3506.982,1161.528,142.307,46.229,1065.574,766.568,77.441,247.335,726.537,452.267,208.542,209.624,332.479,24.527,8.081,344.604,644.572,555.749
2007-06-01,4317.037152410002,3466.108,1436.244,155.056,69.307,779.789,700.886,91.897,232.929,675.922,472.693,207.902,223.625,312.895,25.356,9.188,365.343,559.749,613.435
