AÑO;MES;BRENT;CAÑADON SECO;ESCALANTE;HIDRA;MAGALLANES;MARÍA INÉS;MEDANITO;MENDOZA NORTE;NOROESTE;SAN SEBASTIÁN;TOTAL TIPO DE CRUDO;WTI
;2;652.38;520.90;519.70;541.01;0.00;0.00;0.00;0.00;0.00;0.00;521.54;564.45
;3;721.06;690.19;640.75;541.01;0.00;0.00;0.00;0.00;0.00;0.00;639.95;647.85
;4;775.28;700.87;706.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;704.76;692.57
;5;723.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;645.96
;6;715.97;737.70;737.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;737.70;600.17
;7;735.72;647.80;647.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;647.80;612.25
;8;693.26;618.42;618.42;591.73;0.00;0.00;0.00;0.00;0.00;0.00;615.49;543.06
;9;709.68;674.89;674.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;674.89;538.47
;10;689.05;700.51;700.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;700.51;543.69
;11;696.72;746.91;747.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;747.49;611.12
;12;678.48;620.21;671.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;661.76;620.30
2012;1;696.22;659.05;658.80;604.39;0.00;0.00;0.00;0.00;0.00;0.00;650.60;630.49
;2;750.56;701.02;706.92;606.53;0.00;0.00;0.00;0.00;0.00;0.00;698.18;644.20
;3;789.06;751.76;741.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;741.49;668.35
;4;753.20;712.23;750.11;717.19;0.00;0.00;0.00;0.00;0.00;0.00;736.52;650.05
;5;694.02;640.31;678.85;701.04;0.00;0.00;0.00;0.00;0.00;0.00;670.21;595.77
;6;598.54;598.20;607.19;515.89;0.00;0.00;0.00;0.00;0.00;0.00;600.66;518.34
;7;645.46;606.86;606.86;560.62;0.00;0.00;0.00;0.00;0.00;0.00;596.01;553.06
;8;713.01;629.60;702.60;572.92;0.00;0.00;0.00;0.00;0.00;0.00;664.26;592.18
