Año;Mes;Producto;Datos;Total
;;AEROKEROSENE;Suma de M3;2952
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;432440
;;AERONAFTAS;Suma de M3;177
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;70647
;;AGUARRAS;Suma de M3;966
;;;Suma de Toneladas;763
;;;Suma de ValorFOB;175071
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;74
;;;Suma de ValorFOB;16280
;;BASES LUBRICANTES;Suma de M3;1331
;;;Suma de Toneladas;328
;;;Suma de ValorFOB;445974
;;COQUE;Suma de M3;0
;;;Suma de Toneladas;32002
;;;Suma de ValorFOB;1494250
;;EMULSIVOS;Suma de M3;25
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;6150
;;GAS OIL;Suma de M3;18287
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;3284271
;;GLP ENVASADO;Suma de M3;0
;;;Suma de Toneladas;29651
;;;Suma de ValorFOB;5506657
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;64
;;;Suma de ValorFOB;54815
;;LINEAL ALQUIL BENCENO;Suma de M3;0
;;;Suma de Toneladas;104
;;;Suma de ValorFOB;86364
;;NAFTA COMUN CON PLOMO;Suma de M3;151567
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;18889323
;;PETROLEO;Suma de M3;846174
;;;Suma de Toneladas;41351
;;;Suma de ValorFOB;91592412
;;SOLVENTES ALIFATICOS;Suma de M3;55328
;;;Suma de Toneladas;38250
;;;Suma de ValorFOB;5654430
;;SOLVENTES HEXANO;Suma de M3;474
;;;Suma de Toneladas;320
;;;Suma de ValorFOB;111270
;6;ADITIVOS LUBRICANTES;Suma de M3;1
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2748
;;AEROKEROSENE;Suma de M3;662
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;96955
;;AERONAFTAS;Suma de M3;2443
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;375583
;;AGUARRAS;Suma de M3;944
;;;Suma de Toneladas;723
;;;Suma de ValorFOB;158836
;;ASFALTOS;Suma de M3;10733
;;;Suma de Toneladas;10733
;;;Suma de ValorFOB;829446
;;BASES LUBRICANTES;Suma de M3;14084
;;;Suma de Toneladas;11752
;;;Suma de ValorFOB;3753202
;;COQUE;Suma de M3;0
;;;Suma de Toneladas;2476
;;;Suma de ValorFOB;82003
;;DILUYENTES;Suma de M3;9235
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;882062
;;FUEL OIL, AZUFRE <1%;Suma de M3;0
;;;Suma de Toneladas;14123
;;;Suma de ValorFOB;1256967
;;FUEL OIL, AZUFRE >1%;Suma de M3;0
;;;Suma de Toneladas;29759
;;;Suma de ValorFOB;2670268
;;GAS OIL;Suma de M3;69120
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;8859010
;;GLP ENVASADO;Suma de M3;0
;;;Suma de Toneladas;18213
;;;Suma de ValorFOB;3465613
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;52
;;;Suma de ValorFOB;45250
