anio,unidad_cant_crudo,prod_crudo,expo_crudo,precio_crudo_mdoint,precio_me_crudo,unidad_cant_gas,prod_gas,expo_gas,precio_externo_gas,precio_exportacion_gas_ar,precio_gas_mdoint,tcc,tcp,unidad,ci_tot,ci_extr,ms_tot,ms_extr,consumo_k_fijo,vbp_tot,va_tot,ebe_tot,vbp_extr,ebe_extr,va_extr,fuente,pv
1997.0,barriles,304444925.2284,104005003.708477,18.5480299002618,18.133956729083277,MMBTU,1308711606.62465,23720720.93327094,,2.0782683566189126,1.2188698091062005,1.0,1.685374159314438,Millones de pesos corrientes,5584.970249080435,5042.158614041287,955.018156802305,377.75564712776765,140.34417345891907,,,,,,,Criterio propio,
1997.0,barriles,304444925.2284,104005003.708477,18.5480299002618,18.133956729083277,MMBTU,1308711606.62465,23720720.93327094,,2.0782683566189126,1.2188698091062005,1.0,1.685374159314438,Millones de pesos corrientes,5584.970249080435,5042.158614041287,955.018156802305,377.75564712776765,140.34417345891907,,,,,,,Criterio propio,
1998.0,barriles,309128920.41899997,107523445.730744,12.160952771153296,11.559119299224387,MMBTU,1363647081.0983899,70124828.5853785,1.2631053679542918,1.6716848569600964,1.2190291086172733,1.0,1.834025658588197,Millones de pesos corrientes,3725.384640121766,3363.3089194879503,712.8462631343359,281.9650071728061,1152.2927403570995,9712.427705062913,6349.118785574963,6067.153778402157,,,,Criterio propio,4678.202353221298
1998.0,barriles,309128920.41899997,107523445.730744,12.160952771153296,11.559119299224387,MMBTU,1363647081.0983899,70124828.5853785,1.2631053679542918,1.6716848569600964,1.2190291086172733,1.0,1.834025658588197,Millones de pesos corrientes,3725.384640121766,3363.3089194879503,712.8462631343359,281.9650071728061,1152.2927403570995,9712.427705062913,6349.118785574963,6067.153778402157,,,,Criterio propio,4678.202353221298
1998.0,barriles,309128920.41899997,107523445.730744,12.160952771153296,11.559119299224387,MMBTU,1363647081.0983899,70124828.5853785,1.2631053679542918,1.6716848569600964,1.2190291086172733,1.0,1.834025658588197,Millones de pesos corrientes,3726.4219853920204,3364.245443615542,712.8462631343359,281.9650071728061,1152.2927403570995,9712.427705062913,6348.182261447371,6066.217254274565,,,,Criterio propio,4677.265829093706
1998.0,barriles,309128920.41899997,107523445.730744,12.160952771153296,11.559119299224387,MMBTU,1363647081.0983899,70124828.5853785,1.2631053679542918,1.6716848569600964,1.2190291086172733,1.0,1.834025658588197,Millones de pesos corrientes,3726.4219853920204,3364.245443615542,712.8462631343359,281.9650071728061,1152.2927403570995,9712.427705062913,6348.182261447371,6066.217254274565,,,,Criterio propio,4677.265829093706
1999.0,barriles,280944389.51699996,0.0,17.00178969667822,16.203629993661696,MMBTU,1437911082.65532,5910.546574,0.9747129438733286,1.2004686792555754,1.2028564683663836,1.0,1.945408423379476,Millones de pesos corrientes,5148.93372018539,4648.501129372178,860.6762014300859,340.4388629922081,1131.5758506710956,11582.707839906492,6934.206710534314,6593.767847542106,,,,Criterio propio,5179.960974172
1999.0,barriles,280944389.51699996,0.0,17.00178969667822,16.203629993661696,MMBTU,1437911082.65532,5910.546574,0.9747129438733286,1.2004686792555754,1.2028564683663836,1.0,1.945408423379476,Millones de pesos corrientes,5148.93372018539,4648.501129372178,860.6762014300859,340.4388629922081,1131.5758506710956,11582.707839906492,6934.206710534314,6593.767847542106,,,,Criterio propio,5179.960974172
1999.0,barriles,280944389.51699996,0.0,17.00178969667822,16.203629993661696,MMBTU,1437911082.65532,5910.546574,0.9747129438733286,1.2004686792555754,1.2028564683663836,1.0,1.945408423379476,Millones de pesos corrientes,5150.103596778565,4649.557303904642,860.6762014300859,340.4388629922081,1131.5758506710956,11582.707839906492,6933.15053600185,6592.711673009642,,,,Criterio propio,5178.904799639536
1999.0,barriles,280944389.51699996,0.0,17.00178969667822,16.203629993661696,MMBTU,1437911082.65532,5910.546574,0.9747129438733286,1.2004686792555754,1.2028564683663836,1.0,1.945408423379476,Millones de pesos corrientes,5150.103596778565,4649.557303904642,860.6762014300859,340.4388629922081,1131.5758506710956,11582.707839906492,6933.15053600185,6592.711673009642,,,,Criterio propio,5178.904799639536
2000.0,barriles,272277680.3868,5608444.835399999,28.146854075911264,27.930764059573495,MMBTU,1595364783.5022802,11411.282034,1.0932602299788075,1.2683158238077425,1.2689565627950896,1.0,1.969548988287749,Millones de pesos corrientes,8110.7027028988,7322.411342492393,1281.4578964366813,506.8782760699215,2193.24920957829,18413.456322571365,11091.044980078972,10584.16670400905,,,,Criterio propio,7942.244465535226
